ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,28,40
1,6,5,2,28,61
9,4,3,0,31,58
3,4,0,1,73,85
8,2,0,2,64,87
2,1,0,4,77,116
4,1,0,4,70,109
7,3,2,4,89,104
5,1,4,5,110,121
6,4,4,5,106,117
10,1,4,5,8,20
12,1,4,5,3,15
14,6,4,5,0,12
11,3,5,0,22,52
13,4,0,5,49,80
16,5,3,1,13,29
15,3,1,5,31,56
17,2,4,0,8,38
22,3,2,0,13,28
23,2,0,2,30,56
19,6,0,3,37,74
18,3,2,4,67,88
20,4,0,5,34,92
24,6,0,1,116,128
21,4,1,2,137,148
25,1,0,4,113,154
26,3,1,3,18,35
29,4,1,5,10,44
30,6,3,5,26,42
28,6,0,1,81,94
27,6,0,2,81,105
31,2,4,5,13,24
32,3,4,5,9,20
36,1,5,1,16,57
35,4,5,0,17,69
37,5,5,0,15,67
41,2,5,0,6,58
40,3,0,5,66,102
33,6,2,5,93,114
34,6,3,0,128,161
39,4,2,0,130,152
38,5,1,0,143,154
42,4,5,2,28,50
43,3,5,0,27,65
45,3,0,5,62,98
44,5,4,5,88,99
47,4,0,1,28,39
46,2,1,4,41,61
50,1,0,5,24,68
48,2,4,5,60,70
49,3,1,0,95,105
51,6,0,1,3,14
56,2,1,4,3,29
53,5,3,4,28,39
54,2,4,5,38,48
52,5,3,0,68,94
55,2,2,0,71,86
57,5,0,4,84,110
58,6,0,5,23,61
63,5,0,5,13,51
66,2,2,5,21,41
60,4,5,1,59,98
59,1,5,0,63,114
62,2,5,0,57,108
64,4,4,0,64,103
61,4,2,0,85,108
65,5,1,0,113,124
70,3,0,1,0,11
68,5,0,3,3,37
69,2,2,4,25,47
67,3,0,5,3,58
74,2,2,5,12,44
75,5,5,4,43,55
76,4,3,2,62,74
72,2,5,1,51,97
71,2,3,1,74,97
73,1,3,0,73,107
78,1,0,3,0,23
77,4,0,5,3,41
79,5,0,5,0,38
81,5,3,1,47,63
80,3,0,1,78,88
82,4,0,3,8,29
83,1,5,1,43,80
85,3,3,1,59,75
84,4,4,0,49,89
86,2,3,0,57,86
87,5,1,0,72,83
88,3,0,1,3,15
91,4,0,1,2,14
90,2,0,3,2,37
89,6,2,4,27,48
92,2,3,0,56,76
93,4,2,5,13,34
95,3,5,4,28,38
96,5,0,1,63,76
94,6,0,3,67,96
99,1,0,1,110,127
97,6,0,3,113,145
98,6,0,4,113,156
100,5,0,1,175,186
103,2,5,0,26,56
101,2,0,1,60,70
102,1,0,2,59,79
104,4,0,1,13,30
106,3,0,2,8,36
105,2,0,3,12,50
107,5,0,4,7,57
111,6,3,5,39,62
110,3,4,5,53,63
108,6,5,1,72,98
109,4,0,1,107,118
116,4,0,1,0,12
113,3,0,3,5,35
115,4,0,4,2,44
112,4,0,5,8,61
114,5,3,5,36,58
117,6,4,5,8,19
121,4,2,0,33,55
122,3,1,0,42,53
126,1,1,0,35,46
119,2,0,1,63,80
124,1,0,2,53,81
123,3,1,2,74,84
118,5,0,3,63,102
120,6,0,4,59,111
125,4,3,5,92,114
127,2,0,5,143,173
129,2,5,1,18,45
130,2,5,0,16,53
133,4,5,0,11,48
131,4,0,1,52,68
134,4,0,1,49,65
132,3,0,3,51,84
128,1,0,5,59,109
136,4,3,5,79,95
135,6,0,5,130,164
137,3,0,5,125,159
138,5,0,5,121,155
140,1,2,0,22,43
147,6,1,0,12,23
145,6,1,4,43,74
144,2,2,5,58,89
143,3,5,4,90,101
146,1,5,0,82,118
148,4,3,5,18,34
149,3,5,4,36,46
152,3,0,1,66,79
155,5,0,2,57,82
151,4,0,4,67,108
150,6,1,5,82,120
153,2,1,2,140,152
154,5,1,4,136,163
156,3,1,4,18,45
160,2,3,4,29,39
158,6,1,5,15,53
159,2,0,1,83,94
157,4,0,2,84,105
164,2,0,1,10,23
165,3,0,2,9,32
161,2,0,4,13,51
163,3,0,5,10,58
168,1,5,4,52,62
162,4,1,0,90,101
167,3,0,1,96,109
166,6,0,3,97,125
169,2,0,3,91,119
170,6,0,2,141,157
171,3,1,5,8,33
172,5,4,0,43,69
173,5,0,2,3,26
174,2,0,3,0,33
176,4,1,5,8,45
177,5,5,0,46,90
178,3,5,0,46,90
179,6,5,0,46,90
181,2,0,4,89,114
180,6,3,2,127,138
175,2,1,0,155,165
182,1,5,0,28,64
184,4,5,0,23,59
186,2,1,0,46,56
185,3,0,1,60,73
183,4,0,2,63,88
189,3,0,3,59,95
188,6,1,3,73,95
187,2,4,5,107,117
194,2,2,1,9,20
190,3,2,0,18,41
193,6,1,0,22,33
191,5,0,1,42,56
197,5,0,1,28,42
199,1,0,1,23,37
196,4,0,2,29,58
198,6,1,4,44,71
195,3,4,5,78,88
192,1,4,2,105,120
200,2,3,5,8,23
203,1,0,1,45,58
201,5,0,2,50,74
204,4,0,2,42,66
206,1,0,4,40,86
202,3,1,5,61,103
205,2,3,5,76,96
207,1,5,4,3,13
208,2,5,0,19,49
209,4,5,0,28,65
210,2,5,0,28,65
211,4,2,0,45,61
212,2,3,5,84,99
214,3,0,1,27,39
216,6,1,2,38,50
222,2,1,3,30,53
215,1,0,4,25,71
213,4,0,5,28,84
217,1,0,5,24,80
221,3,5,0,76,118
220,3,4,0,89,121
218,5,1,0,111,123
219,3,1,0,111,123
223,1,0,3,3,23
224,1,4,5,29,39
228,4,5,0,32,63
226,3,0,1,69,81
225,1,0,3,71,98
227,5,0,4,68,105
230,3,5,0,8,45
232,3,5,0,4,41
234,4,1,0,25,36
233,2,0,1,43,55
231,3,0,2,47,69
229,4,0,5,49,91
236,3,2,0,18,33
235,1,0,2,34,49
237,5,2,0,3,25
240,4,1,0,9,20
244,4,0,3,10,37
239,6,3,4,53,64
241,3,0,5,22,73
242,1,2,5,35,69
238,1,4,2,87,102
243,3,2,0,92,107
246,2,5,2,26,55
253,5,5,1,12,52
251,1,4,1,32,58
245,5,5,0,28,79
249,2,5,0,21,72
252,4,0,1,69,80
247,5,2,4,102,118
254,3,4,5,103,113
250,1,3,1,140,161
248,5,2,0,154,175
256,2,0,1,4,15
258,3,0,2,1,24
255,5,1,5,19,50
257,4,1,0,72,83
259,2,1,5,8,39
260,4,4,5,28,39
262,2,4,2,46,61
261,3,0,2,78,95
263,5,0,5,75,112
265,4,0,1,28,40
264,4,0,5,28,66
269,2,0,1,22,36
270,1,0,4,19,53
271,5,0,4,15,49
272,2,0,4,14,48
266,2,0,5,28,74
267,2,0,5,28,74
268,1,2,1,97,107
274,6,4,0,66,102
273,3,0,4,105,130
275,6,2,0,13,29
276,1,0,1,29,39
277,3,4,1,57,77
278,3,3,0,13,35
279,5,3,0,9,31
280,4,0,5,34,65
281,3,5,4,65,76
283,2,5,0,60,98
282,3,4,0,74,100
284,1,4,0,72,98
285,1,4,5,23,33
293,3,5,0,15,56
290,5,2,0,44,65
287,2,1,0,61,71
288,2,0,2,71,93
289,6,2,4,92,108
286,3,1,5,85,125
292,6,1,5,73,113
291,3,3,4,134,144
296,5,0,1,21,35
297,3,0,1,20,34
294,6,0,4,23,59
299,2,5,1,66,97
295,4,4,0,78,109
300,5,0,1,106,118
298,4,0,4,110,143
301,5,0,1,23,36
303,2,0,1,21,34
306,3,0,5,15,57
304,4,1,5,34,60
302,3,2,1,85,97
305,5,2,1,81,93
307,6,0,2,103,121
308,4,0,4,101,135
309,2,3,4,8,18
311,6,4,1,14,35
310,3,0,5,50,80
312,5,3,5,13,36
313,4,3,5,10,33
317,5,4,5,12,23
318,4,5,2,28,51
319,1,5,1,24,61
316,5,5,0,28,75
320,3,2,0,49,71
322,4,2,0,43,65
314,4,0,4,86,118
315,4,0,5,83,126
321,2,3,5,93,114
323,6,5,0,3,39
325,2,1,0,26,36
326,2,0,1,37,49
327,6,0,4,34,71
324,2,3,4,66,76
328,5,5,2,80,101
329,1,2,5,3,23
331,4,5,0,19,55
332,2,1,0,44,54
330,2,1,2,68,78
333,2,2,0,3,23
338,2,1,0,4,14
335,1,0,1,21,34
340,1,0,1,13,26
334,4,0,3,22,52
341,2,0,3,11,41
339,3,0,5,15,63
343,4,1,5,20,54
337,6,3,5,48,64
336,5,2,0,89,111
342,6,1,0,93,104
345,2,1,0,8,18
346,2,0,1,17,31
348,2,0,1,12,26
350,3,0,1,6,20
351,4,1,3,22,44
344,5,2,3,47,58
349,6,0,5,8,64
347,6,2,4,92,108
354,1,3,2,13,23
361,3,2,1,2,12
352,4,4,0,3,45
357,2,0,2,36,52
356,4,0,3,40,68
355,3,2,3,60,71
360,1,3,4,56,66
353,1,2,5,63,97
358,4,5,4,84,95
359,2,3,0,102,122
362,3,0,1,3,13
363,2,5,2,37,57
364,5,0,1,13,26
372,4,2,3,24,35
368,2,0,4,3,50
369,5,0,4,3,50
371,1,3,4,38,48
367,6,5,2,66,90
365,5,5,1,72,107
366,4,5,0,68,114
370,4,0,3,109,130
373,6,1,2,13,25
375,2,1,5,5,38
374,2,5,0,43,78
380,2,3,0,46,66
377,5,0,1,70,83
376,2,0,3,72,101
378,5,0,5,70,114
381,5,0,3,142,165
379,6,0,5,144,188
389,3,4,5,11,21
384,1,5,4,33,44
390,1,5,4,24,35
383,3,4,2,48,72
391,3,5,0,21,72
385,5,3,0,52,81
392,3,0,1,73,85
382,5,0,2,92,116
386,2,1,2,93,104
387,2,1,2,91,102
388,5,3,0,114,135
394,4,0,1,3,14
393,4,1,5,16,50
396,5,4,5,35,48
397,1,4,5,35,48
400,5,4,5,25,38
398,5,4,0,59,96
399,4,2,0,71,92
395,3,1,0,90,100
401,3,0,5,3,38
402,2,4,5,25,35
408,5,5,4,23,34
403,4,4,2,46,62
404,3,1,0,71,81
409,1,0,3,73,97
406,4,0,4,79,113
405,6,0,5,81,126
407,2,0,5,77,122
410,5,0,5,150,182
411,2,0,5,146,178
419,1,3,1,0,16
412,3,3,0,17,43
414,4,0,1,37,53
418,1,0,1,29,45
415,4,2,3,61,72
416,6,0,5,32,91
421,3,4,5,72,82
413,5,5,4,102,113
417,4,4,0,105,131
420,5,0,2,128,144
422,3,4,5,13,23
424,6,4,0,25,56
426,3,1,0,43,53
423,2,1,4,72,92
425,1,1,5,66,96
427,4,0,1,28,39
429,1,0,2,22,45
428,1,1,5,38,68
430,4,5,0,66,102
431,3,1,0,89,99
439,4,5,4,17,31
432,6,5,1,28,63
434,3,5,0,24,70
441,2,0,1,59,73
437,4,0,3,66,96
436,2,1,4,83,110
433,3,3,4,106,116
435,3,0,5,71,124
440,5,0,5,60,113
438,5,1,4,145,166
445,4,0,1,13,26
444,2,1,3,32,47
443,4,0,4,19,60
446,2,3,4,40,50
442,2,0,5,23,75
447,6,4,5,8,19
451,5,0,1,42,55
450,1,1,3,60,81
449,4,2,3,71,82
448,5,0,4,47,94
456,3,0,2,16,40
452,1,0,3,23,57
457,2,0,4,16,60
458,5,0,5,13,67
453,4,1,5,33,74
455,6,2,0,92,113
454,2,1,0,107,117
460,3,0,4,3,28
459,3,1,0,48,58
461,4,0,1,3,16
464,3,0,2,0,26
463,4,0,3,1,38
465,1,1,5,11,50
466,6,1,5,11,50
469,2,3,5,28,43
470,2,2,1,61,71
462,3,1,0,90,101
468,2,1,0,76,87
467,2,0,2,92,107
474,2,0,1,8,19
471,3,0,2,13,35
475,3,1,3,20,40
473,1,5,0,56,92
472,4,1,0,81,92
477,3,0,1,1,12
478,2,0,1,1,12
476,1,0,5,3,40
479,6,0,2,28,44
480,1,2,5,46,66
481,2,2,1,18,28
487,6,1,0,11,24
488,6,1,0,7,20
483,4,0,2,41,58
482,3,0,4,42,81
485,4,3,5,62,83
484,2,3,1,102,117
489,4,5,4,23,35
491,2,5,4,22,34
493,2,5,0,18,61
495,2,1,0,46,56
490,4,0,1,67,81
492,4,0,3,65,95
496,2,0,4,58,99
494,4,0,5,60,111
497,3,0,1,140,152
498,4,0,5,139,176
499,1,2,0,18,40
500,3,1,0,27,39
501,5,1,0,27,39
503,4,1,4,44,71
502,5,3,4,63,74
504,4,3,0,80,101
139,3,3,4,3650,-1
141,6,5,0,3672,-1
142,5,5,0,3672,-1
486,2,3,0,13009,-1
